Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,Fare_normalized
0,3,1,4,1,0,1.0,0.014151057562208049
1,1,0,5,1,0,2.0,0.13913573538264068
1,3,0,5,0,0,1.0,0.015468569817999833
1,1,0,5,1,0,1.0,0.10364429745562033
0,3,1,5,0,0,1.0,0.015712553569072387
0,3,1,5,0,0,0.0,0.01650950209357577
0,1,1,6,0,0,1.0,0.10122885832000206
0,3,1,1,3,1,1.0,0.04113566043083236
1,3,0,5,0,2,1.0,0.021730754366528396
1,2,0,2,1,0,2.0,0.058694292654020104
1,3,0,1,1,1,1.0,0.03259622914329302
1,1,0,6,0,0,1.0,0.051822148727810165
0,3,1,4,0,0,1.0,0.015712553569072387
0,3,1,5,1,5,1.0,0.06104473451835265
0,3,0,2,0,0,1.0,0.015330377421392339
1,2,0,6,0,0,1.0,0.03122992013728673
0,3,1,1,4,1,0.0,0.05684821399990475
1,2,1,5,0,0,1.0,0.025374310111545468
0,3,0,5,1,0,1.0,0.03513366015444757
1,3,0,5,0,0,2.0,0.014102260811993537
0,2,1,5,0,0,1.0,0.050748620223090936
1,2,1,5,0,0,1.0,0.025374310111545468
1,3,0,2,0,0,0.0,0.015671954672893913
1,1,1,5,0,0,1.0,0.06929138530460494
0,3,0,1,3,1,1.0,0.04113566043083236
1,3,0,5,1,5,1.0,0.06126431989431795
0,3,1,5,0,0,2.0,0.014102260811993537
0,1,1,4,3,2,1.0,0.5133418122566507
1,3,0,5,0,0,0.0,0.01537917417160685
0,3,1,5,0,0,1.0,0.015411575213749286
0,1,1,5,0,0,2.0,0.05410739813385612
1,1,0,5,1,0,2.0,0.2859895551532101
1,3,0,5,0,0,0.0,0.015126992566498259
0,2,1,7,0,0,1.0,0.020494635090094415
0,1,1,5,1,0,2.0,0.16038672010106003
0,1,1,6,1,0,1.0,0.10149724044618187
1,3,1,5,0,0,2.0,0.014110458666029575
0,3,1,4,0,0,1.0,0.015712553569072387
0,3,0,3,2,0,1.0,0.03513366015444757
1,3,0,2,1,0,2.0,0.021942337075458514
0,3,0,5,1,0,1.0,0.018493968331299484
0,2,0,5,1,0,1.0,0.04098927018018883
0,3,1,5,0,0,2.0,0.015411575213749286
1,2,0,1,1,2,2.0,0.08115719346076702
1,3,0,4,0,0,0.0,0.01537917417160685
0,3,1,5,0,0,1.0,0.015712553569072387
0,3,1,5,1,0,0.0,0.030253985132996517
1,3,0,5,0,0,0.0,0.015126992566498259
0,3,1,5,2,0,2.0,0.04231498029001666
0,3,0,3,1,0,1.0,0.034743286152731485
0,3,1,1,4,1,1.0,0.07746484096553544
0,3,1,4,0,0,1.0,0.01522458606692728
1,1,0,6,1,0,2.0,0.1497654242623688
1,2,0,5,1,0,1.0,0.050748620223090936
0,1,1,7,0,1,2.0,0.1209753416358076
1,1,1,5,0,0,1.0,0.06929138530460494
1,2,0,4,0,0,1.0,0.020494635090094415
0,3,1,5,0,0,2.0,0.014110458666029575
1,2,0,1,1,2,1.0,0.05416439273810667
0,3,1,2,5,2,1.0,0.09154270340242172
0,3,1,4,0,0,2.0,0.014110458666029575
0,1,1,6,1,0,1.0,0.16293234896625058
0,3,1,1,3,2,1.0,0.05445717323939373
0,1,1,5,0,0,2.0,0.05410739813385612
1,3,1,5,1,1,2.0,0.029757819776815374
1,2,0,5,0,0,1.0,0.020494635090094415
0,3,1,4,0,0,1.0,0.015923941091001644
1,3,0,3,4,2,1.0,0.015468569817999833
0,3,1,5,2,0,1.0,0.016908073949327893
0,2,1,5,0,0,1.0,0.020494635090094415
0,3,0,3,5,2,1.0,0.09154270340242172
0,2,1,4,0,0,1.0,0.1434624456306609
0,3,1,5,1,0,2.0,0.028212719478023115
1,3,1,5,0,0,1.0,0.11027245763075773
0,3,1,4,0,0,1.0,0.014931805565640218
0,3,1,5,0,0,1.0,0.015411575213749286
0,3,1,5,0,0,1.0,0.015712553569072387
1,2,1,1,0,2,1.0,0.056604230248832196
1,3,0,5,0,0,1.0,0.024349578357040744
0,3,1,4,0,0,1.0,0.017566830077223785
1,3,1,5,0,0,1.0,0.018542765081513996
1,3,0,5,0,0,0.0,0.015200187691820024
0,1,1,5,0,0,1.0,0.09193307740413781
1,2,0,3,0,0,1.0,0.020494635090094415
1,3,0,5,3,0,1.0,0.030937139635999665
0,3,1,3,1,3,1.0,0.06709553154495196
0,3,1,5,0,0,1.0,0.015712553569072387
1,1,0,4,3,2,1.0,0.5133418122566507
0,3,1,4,0,0,1.0,0.015712553569072387
0,3,1,5,0,0,1.0,0.015712553569072387
0,3,1,4,0,0,1.0,0.015330377421392339
0,1,1,6,1,0,1.0,0.11940564777490723
0,3,1,5,1,2,1.0,0.04015972542654215
0,3,1,6,0,0,1.0,0.014151057562208049
0,3,1,5,0,0,1.0,0.015712553569072387
0,1,1,7,0,0,2.0,0.06764049365134761
1,1,1,4,0,1,2.0,0.12366716556464086
1,2,0,5,0,1,1.0,0.044893010197349675
0,2,1,5,1,0,1.0,0.050748620223090936
0,3,0,5,0,0,1.0,0.015411575213749286
0,3,1,5,0,0,1.0,0.015411575213749286
0,1,1,4,0,1,1.0,0.15085515328815924
0,3,1,5,0,0,1.0,0.016891873428256675
0,3,1,5,2,0,1.0,0.015468569817999833
0,3,1,5,0,0,1.0,0.015411575213749286
1,3,0,4,0,0,1.0,0.014931805565640218
1,3,1,5,0,0,1.0,0.015175789316712771
0,3,1,5,0,0,1.0,0.015411575213749286
1,3,0,5,1,0,0.0,0.04713766070721715
0,1,1,6,0,0,1.0,0.10149724044618187
0,3,0,2,1,0,2.0,0.028212719478023115
0,3,1,4,0,0,1.0,0.015712553569072387
0,3,0,4,1,0,1.0,0.019177122834302632
0,3,0,3,0,0,2.0,0.028220722145058292
0,3,1,4,0,0,1.0,0.015468569817999833
0,3,1,7,0,0,0.0,0.015126992566498259
0,2,1,5,1,0,1.0,0.04098927018018883
0,1,1,4,0,1,2.0,0.4831284260198326
0,3,0,1,4,2,1.0,0.06104473451835265
0,2,1,4,2,0,1.0,0.1434624456306609
0,3,1,5,0,0,1.0,0.015712553569072387
0,2,1,5,1,0,2.0,0.058694292654020104
1,2,0,5,0,0,1.0,0.025374310111545468
0,1,1,6,0,1,1.0,0.15085515328815924
1,3,1,2,1,0,2.0,0.021942337075458514
0,3,1,5,0,0,0.0,0.015126992566498259
1,3,1,4,0,0,1.0,0.01393967004027879
1,3,0,5,1,1,2.0,0.04364049521284362
0,3,1,6,0,0,1.0,0.013614293309848433
0,3,1,5,0,0,2.0,0.015411575213749286
0,3,1,4,0,0,1.0,0.013760683560491965
0,3,0,6,1,0,1.0,0.028302115124416098
1,2,0,5,1,0,1.0,0.050748620223090936
0,2,1,4,0,0,1.0,0.025374310111545468
0,2,1,4,0,0,2.0,0.02936744577509929
1,1,0,4,0,2,1.0,0.051301584996521765
0,1,1,5,1,0,1.0,0.10364429745562033
0,3,1,3,0,0,1.0,0.01798980030808316
0,1,1,4,0,0,2.0,0.15458810467956932
0,3,0,5,0,2,2.0,0.029757819776815374
1,3,0,4,0,0,1.0,0.015126992566498259
1,3,0,4,1,0,1.0,0.030937139635999665
0,3,1,4,0,0,0.0,0.013175122557917838
0,2,1,3,0,0,1.0,0.022446505098674838
0,2,1,4,1,1,1.0,0.07173122281533045
1,3,1,5,0,0,1.0,0.015216388212891242
0,3,0,2,2,2,1.0,0.06709553154495196
0,2,1,5,0,2,1.0,0.050748620223090936
0,2,1,6,0,0,1.0,0.025374310111545468
0,2,1,6,0,0,1.0,0.02444717185746977
1,1,0,4,1,0,1.0,0.12999454257145598
0,3,1,6,0,0,1.0,0.015712553569072387
0,3,1,6,0,2,1.0,0.028302115124416098
0,3,1,5,0,0,1.0,0.014273049437744325
0,1,1,6,0,1,2.0,0.11980421963065935
1,3,0,3,0,0,0.0,0.015094396337354966
0,3,1,5,0,0,1.0,0.015712553569072387
0,3,1,5,0,0,1.0,0.016908073949327893
0,3,1,5,8,2,1.0,0.13575255909676825
0,3,1,6,0,1,1.0,0.031425107138144774
1,2,0,5,0,0,1.0,0.030741952635141623
0,3,1,5,0,0,1.0,0.015175789316712771
0,3,1,3,0,0,1.0,0.016908073949327893
0,3,1,1,4,1,1.0,0.07746484096553544
1,3,1,2,0,2,1.0,0.04006213192611313
1,1,0,5,0,1,1.0,0.10735285047192313
0,3,0,6,1,4,1.0,0.05445717323939373
0,1,1,5,0,0,1.0,0.050602229972447406
0,3,1,5,0,0,1.0,0.11027245763075773
0,1,1,7,0,0,1.0,0.06538764528744409
0,3,1,1,4,1,0.0,0.05684821399990475
1,3,0,1,1,1,1.0,0.021730754366528396
0,3,1,4,0,0,1.0,0.015468569817999833
0,1,1,6,0,0,2.0,0.05991421140938287
0,3,1,3,1,1,1.0,0.015330377421392339
0,3,1,5,3,1,1.0,0.049707687947515
0,1,0,6,0,0,2.0,0.05604306762136532
0,2,1,5,0,0,1.0,0.025374310111545468
0,3,1,5,0,0,1.0,0.0
0,3,0,5,8,2,1.0,0.13575255909676825
0,2,1,5,0,0,2.0,0.02937564362913533
0,3,1,2,4,2,1.0,0.06126431989431795
1,2,1,1,2,1,1.0,0.07612293033463641
1,3,0,1,0,2,1.0,0.04298993693898376
0,1,1,5,0,0,1.0,0.09759350042902103
1,3,0,5,1,0,0.0,0.030253985132996517
1,1,1,6,0,0,1.0,0.051822148727810165
0,3,1,5,1,1,0.0,0.030253985132996517
0,3,1,5,0,0,1.0,0.015411575213749286
1,2,0,5,0,0,1.0,0.025374310111545468
0,2,1,4,0,0,1.0,0.025374310111545468
1,3,0,4,1,0,1.0,0.015330377421392339
1,2,1,1,1,1,1.0,0.050748620223090936
1,1,0,6,0,0,2.0,0.05410739813385612
1,1,0,6,0,0,2.0,0.2859895551532101
0,3,1,5,0,0,0.0,0.015126992566498259
0,3,1,6,0,1,1.0,0.01640390592611157
1,3,0,5,0,0,0.0,0.015126992566498259
0,2,0,4,0,0,1.0,0.025374310111545468
0,3,1,5,0,0,1.0,0.018542765081513996
0,3,1,5,8,2,1.0,0.13575255909676825
0,3,1,5,0,0,1.0,0.012678957201736696
0,3,1,6,0,0,2.0,0.014102260811993537
1,3,1,3,0,0,1.0,0.015712553569072387
0,3,0,1,0,1,1.0,0.02042143996477265
0,3,1,5,1,0,1.0,0.030937139635999665
1,3,1,5,0,0,2.0,0.036670757786204655
1,3,0,3,0,0,0.0,0.015126992566498259
1,1,1,5,0,0,2.0,0.060507970265993034
0,3,1,4,0,0,1.0,0.013760683560491965
1,2,0,5,0,0,1.0,0.04098927018018883
0,3,1,4,0,0,1.0,0.014151057562208049
0,2,1,5,0,0,1.0,0.025374310111545468
0,3,1,5,1,0,0.0,0.015126992566498259
1,1,0,5,1,0,2.0,0.22109807522194713
1,3,0,5,0,0,1.0,0.015468569817999833
0,2,1,6,1,0,1.0,0.05270049023167135
1,1,0,5,0,0,2.0,0.14891148113361488
0,2,1,5,0,0,1.0,0.020494635090094415
1,3,1,3,0,0,1.0,0.015712553569072387
0,2,1,5,0,0,1.0,0.025374310111545468
0,3,1,6,0,0,1.0,0.015712553569072387
0,3,1,5,0,0,1.0,0.015411575213749286
1,1,1,5,1,0,1.0,0.17566830077223786
0,3,1,4,0,0,1.0,0.018249984580226933
1,2,1,4,0,0,1.0,0.020494635090094415
0,3,1,4,0,0,1.0,0.014151057562208049
0,2,1,3,0,0,1.0,0.025374310111545468
0,3,0,5,3,1,1.0,0.049707687947515
1,1,0,5,1,0,1.0,0.16293234896625058
0,3,1,5,0,0,1.0,0.015175789316712771
0,2,1,6,0,0,1.0,0.026350245115835676
1,3,0,1,4,2,1.0,0.06126431989431795
0,2,1,4,0,0,1.0,0.020494635090094415
0,3,0,5,0,0,1.0,0.014736618564782174
0,2,1,6,1,0,1.0,0.050748620223090936
1,2,0,1,0,2,1.0,0.05123658772523604
0,2,1,4,0,0,1.0,0.020494635090094415
0,2,1,5,0,0,1.0,0.023959204355324663
0,3,0,5,1,0,2.0,0.028212719478023115
1,3,0,5,1,0,0.0,0.030253985132996517
0,2,1,5,0,0,1.0,0.020494635090094415
0,3,1,4,0,0,1.0,0.013907073811135496
0,3,1,5,0,0,2.0,0.014102260811993537
0,1,1,6,2,0,0.0,0.17566830077223786
0,3,0,4,0,0,1.0,0.015175789316712771
1,2,0,4,0,2,1.0,0.028302115124416098
1,1,1,5,1,1,1.0,0.10257896680493714
0,2,1,6,1,0,1.0,0.050748620223090936
0,3,1,5,0,0,1.0,0.014151057562208049
0,3,0,5,1,1,1.0,0.02042143996477265
0,1,1,7,0,0,1.0,0.051822148727810165
0,3,1,5,1,0,1.0,0.031425107138144774
0,3,0,6,0,2,1.0,0.039452172548431745
1,3,0,5,0,2,2.0,0.029757819776815374
1,1,0,5,0,0,2.0,0.15458810467956932
1,1,0,5,0,0,1.0,0.16883675574220638
1,1,0,5,0,0,2.0,1.0
1,2,0,6,0,1,1.0,0.050748620223090936
0,3,1,5,0,0,0.0,0.015126992566498259
1,3,1,1,4,2,1.0,0.06126431989431795
0,1,1,6,1,1,1.0,0.1554664461834305
0,1,1,5,0,0,1.0,0.0
0,3,0,5,0,0,0.0,0.015126992566498259
0,2,1,5,0,0,1.0,0.020494635090094415
0,3,1,3,4,1,1.0,0.07746484096553544
1,3,1,4,1,0,1.0,0.015175789316712771
1,1,0,6,0,1,1.0,0.2995388511917728
1,1,0,5,0,0,1.0,0.2647385704347907
0,1,1,5,0,0,1.0,0.060507970265993034
1,3,1,4,0,0,1.0,0.0
1,2,0,6,0,1,1.0,0.038061465167318204
0,1,1,5,0,1,2.0,0.057970539254838485
1,3,0,5,0,0,0.0,0.015126992566498259
1,1,0,7,1,0,1.0,0.15216446768991498
0,3,0,6,0,0,1.0,0.015126992566498259
0,2,1,5,0,0,1.0,0.0
0,3,1,1,4,1,0.0,0.05684821399990475
1,3,0,5,1,1,1.0,0.03952536767375352
0,3,1,7,0,0,0.0,0.015126992566498259
0,3,1,5,0,0,1.0,0.015330377421392339
0,3,1,3,0,0,1.0,0.018542765081513996
1,3,1,4,0,0,1.0,0.015712553569072387
0,1,1,5,0,0,1.0,0.050748620223090936
0,3,1,5,0,0,2.0,0.016908073949327893
1,3,1,5,0,0,1.0,0.018542765081513996
0,3,1,4,0,0,1.0,0.015411575213749286
1,2,1,6,0,0,1.0,0.025374310111545468
1,3,0,4,0,0,0.0,0.015126992566498259
1,1,0,5,0,0,1.0,0.15390495017656614
1,1,0,4,1,0,2.0,0.17777475888549785
0,2,1,5,0,0,2.0,0.025130326360472913
0,3,0,4,0,0,1.0,0.01727404957593672
0,3,1,4,0,0,1.0,0.015411575213749286
0,1,1,5,0,0,2.0,0.05410739813385612
0,3,1,4,0,0,2.0,0.014110458666029575
0,1,0,1,1,2,1.0,0.29580589980036276
1,1,1,5,0,0,1.0,0.05953203526170282
1,1,0,6,0,1,2.0,0.4831284260198326
1,3,0,5,0,0,0.0,0.015126992566498259
1,3,1,5,2,0,0.0,0.04538097769949478
0,3,1,4,0,0,1.0,0.0
1,2,0,5,0,0,0.0,0.024105594605968193
0,3,1,5,0,0,1.0,0.015712553569072387
1,1,1,1,1,2,1.0,0.29580589980036276
1,1,0,5,0,0,2.0,0.21642978772242535
1,1,0,3,1,0,2.0,0.2125586439344078
0,2,1,5,1,0,2.0,0.04684488020593009
1,1,0,5,0,0,2.0,0.11111839809247648
1,1,0,4,0,0,2.0,0.16231419173453318
1,1,0,3,2,2,2.0,0.5121218935012878
0,2,0,5,1,1,1.0,0.050748620223090936
0,3,1,5,0,0,1.0,0.015411575213749286
0,2,1,6,1,1,1.0,0.05123658772523604
1,3,0,5,0,0,1.0,0.015330377421392339
1,2,0,4,1,0,1.0,0.050748620223090936
0,2,1,6,0,0,1.0,0.027326180120125887
1,1,0,5,0,2,1.0,0.32179836714362564
1,1,0,5,1,1,2.0,0.2625265161540666
0,3,1,4,0,0,1.0,0.014151057562208049
0,3,1,5,0,0,1.0,0.015411575213749286
1,2,0,5,0,0,0.0,0.024105594605968193
1,2,0,4,1,1,1.0,0.056604230248832196
0,3,1,5,8,2,1.0,0.13575255909676825
1,1,0,5,0,0,2.0,0.2647385704347907
0,3,1,7,0,0,1.0,0.012174789178520372
1,2,0,5,0,0,1.0,0.025374310111545468
1,3,0,5,1,1,1.0,0.04006213192611313
1,1,0,3,0,1,2.0,0.11316786160148591
1,3,0,5,2,0,0.0,0.04538097769949478
0,1,1,6,0,0,1.0,0.055628295244541985
0,1,1,5,0,1,1.0,0.2995388511917728
0,3,1,3,2,0,1.0,0.03513366015444757
1,1,0,5,1,0,1.0,0.2608674266467732
0,3,1,5,0,0,1.0,0.015411575213749286
0,1,1,5,1,0,1.0,0.12999454257145598
1,1,0,6,0,0,2.0,0.2625265161540666
1,3,1,6,0,0,1.0,0.015712553569072387
0,1,1,6,0,0,1.0,0.06929138530460494
1,2,1,1,1,1,1.0,0.050748620223090936
1,1,0,4,3,2,1.0,0.5133418122566507
0,2,1,5,0,0,1.0,0.025374310111545468
0,2,1,4,0,0,1.0,0.025374310111545468
0,2,1,5,0,0,1.0,0.025374310111545468
1,2,0,4,0,0,1.0,0.025374310111545468
1,2,0,5,0,0,1.0,0.025374310111545468
1,3,0,5,1,0,1.0,0.031425107138144774
1,3,1,1,1,1,1.0,0.031034733136428686
0,3,1,6,0,0,1.0,0.016908073949327893
0,3,1,4,0,0,1.0,0.01800600082915438
0,1,1,5,0,0,1.0,0.06831545030031472
0,3,1,2,1,1,2.0,0.014110458666029575
0,3,1,4,1,0,1.0,0.034743286152731485
0,3,1,5,0,0,2.0,0.014102260811993537
0,3,1,5,0,0,1.0,0.018542765081513996
1,1,0,4,0,1,1.0,0.10735285047192313
0,2,0,5,0,0,1.0,0.025374310111545468
1,3,0,5,0,0,0.0,0.01537917417160685
1,3,0,5,0,0,0.0,0.01537917417160685
0,3,1,5,1,4,1.0,0.05445717323939373
0,2,1,5,1,0,2.0,0.05410739813385612
0,3,0,6,0,1,2.0,0.028212719478023115
0,3,1,5,0,0,1.0,0.013760683560491965
0,3,1,5,1,0,0.0,0.030253985132996517
0,3,1,5,0,0,1.0,0.014151057562208049
1,1,0,6,1,0,2.0,0.14687821814567664
1,3,0,5,0,0,2.0,0.014110458666029575
1,3,0,5,0,0,0.0,0.015126992566498259
1,1,0,4,0,0,2.0,0.13526459159462315
1,1,1,4,1,0,2.0,0.1082149914547131
0,3,1,3,1,0,1.0,0.012678957201736696
0,3,1,4,0,0,1.0,0.015712553569072387
0,1,1,4,0,0,2.0,0.2647385704347907
0,3,0,1,3,1,1.0,0.04113566043083236
1,1,0,5,1,0,2.0,0.16038672010106003
1,3,0,4,0,0,1.0,0.014151057562208049
0,1,1,5,0,2,2.0,0.41282050681475896
0,3,1,4,0,0,2.0,0.007831878409428937
0,3,1,4,0,0,1.0,0.015175789316712771
1,1,0,6,0,0,2.0,0.4440992237022602
1,3,0,1,0,2,2.0,0.030725752114070404
0,3,1,5,0,0,1.0,0.015468569817999833
1,1,0,5,1,0,1.0,0.10149724044618187
0,3,1,5,0,0,1.0,0.015411575213749286
0,2,1,3,0,0,1.0,0.1434624456306609
0,3,1,1,5,2,1.0,0.09154270340242172
1,2,0,5,0,0,1.0,0.025374310111545468
0,3,1,5,0,0,0.0,0.015086393670319786
1,2,0,3,0,0,2.0,0.023422440102965045
1,1,1,5,1,2,1.0,0.23422440102965048
1,3,1,4,0,0,1.0,0.015216388212891242
0,3,1,5,2,0,1.0,0.015468569817999833
1,1,0,4,1,0,2.0,0.22109807522194713
1,3,0,4,0,2,1.0,0.03259622914329302
0,3,1,4,0,0,1.0,0.015216388212891242
0,3,0,5,0,0,1.0,0.015330377421392339
0,2,1,6,0,0,1.0,0.050748620223090936
0,2,1,4,0,0,1.0,0.020494635090094415
1,2,0,5,0,0,1.0,0.02469115560854232
1,3,1,5,0,0,1.0,0.015468569817999833
0,3,1,5,0,0,1.0,0.015712553569072387
0,3,0,4,1,0,1.0,0.019177122834302632
0,3,1,5,1,0,1.0,0.030937139635999665
0,3,0,4,0,0,1.0,0.016908073949327893
0,2,1,5,1,0,1.0,0.04098927018018883
0,3,1,6,0,0,1.0,0.015126992566498259
1,2,1,1,1,1,1.0,0.03659756266088288
0,3,1,4,0,0,1.0,0.015175789316712771
0,3,0,5,3,1,1.0,0.049707687947515
0,3,1,5,0,0,1.0,0.015411575213749286
0,3,1,5,0,0,0.0,0.013386510079847098
1,1,0,5,1,0,0.0,0.17566830077223786
0,2,1,5,0,0,1.0,0.0
1,3,1,6,0,0,1.0,0.015468569817999833
0,3,0,5,0,0,1.0,0.015712553569072387
1,2,0,5,1,1,1.0,0.06343577527886367
1,2,0,3,0,2,1.0,0.025374310111545468
0,2,1,5,0,0,1.0,0.025374310111545468
0,3,0,2,0,2,1.0,0.04713766070721715
0,3,1,5,0,0,2.0,0.015411575213749286
0,3,1,4,0,0,0.0,0.015094396337354966
0,3,1,5,0,0,1.0,0.015370976317570811
0,3,0,5,1,1,1.0,0.028106928123558056
0,3,1,3,1,1,1.0,0.039452172548431745
0,3,1,5,0,0,1.0,0.014151057562208049
1,2,0,5,1,0,1.0,0.050748620223090936
1,2,0,4,0,0,1.0,0.050748620223090936
0,3,1,5,0,0,0.0,0.015126992566498259
1,3,1,5,0,0,1.0,0.015712553569072387
1,1,1,5,0,0,1.0,0.051822148727810165
1,3,0,5,1,0,1.0,0.031425107138144774
1,2,0,6,1,0,1.0,0.050748620223090936
0,3,1,3,0,0,1.0,0.013907073811135496
0,1,1,6,1,0,1.0,0.1091095334796455
1,1,0,2,1,2,1.0,0.23422440102965048
0,3,0,4,2,2,1.0,0.06709553154495196
1,2,0,4,2,3,1.0,0.03659756266088288
0,1,1,7,1,4,1.0,0.5133418122566507
0,2,1,5,0,0,1.0,0.020494635090094415
1,2,0,6,1,1,1.0,0.05123658772523604
0,3,1,4,0,0,1.0,0.018542765081513996
0,3,1,4,1,0,1.0,0.015175789316712771
